Datalogfile:;R102_IBN_TORGUE
2016-08-02 17:14:57
Samplerate:;24.0;ms

Conditions:
1;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 1: Torque (REAL)
2;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 2: Torque (REAL)
3;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 3: Torque (REAL)
4;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 4: Torque (REAL)
5;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 5: Torque (REAL)
6;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 6: Torque (REAL)
7;No log
8;No log

No;Value 1;Value 2;Value 3;Value 4;Value 5;Value 6;Value 7;Value 8;
82;-0.3218712;0.6719176;4.126495;0.22671;-0.05199742;0.001510171;;;
83;-0.3285533;0.6764344;4.141548;0.2277715;-0.05414268;0.0003439049;;;
84;-0.3165046;0.6409083;4.141211;0.2216767;-0.05695771;0.0001440611;;;
85;-0.3436002;0.6667022;4.121095;0.218778;-0.04682494;0.0006433605;;;
86;-0.3590188;0.6384884;4.143384;0.2275666;-0.05651739;-0.009075032;;;
87;-0.353388;0.6739007;4.135492;0.2273696;-0.05009476;0.002924162;;;
88;-0.3582563;0.6511407;4.160546;0.2296637;-0.05583506;-0.0007600281;;;
89;-0.3328516;0.6745011;4.1598;0.224503;-0.04709798;-0.002795887;;;
90;-0.3525766;0.6478701;4.150547;0.2189121;-0.04774547;-0.00302956;;;
91;-0.3257275;0.6378719;4.119499;0.222998;-0.05080702;-0.00587013;;;
92;-0.3409677;0.6485773;4.150034;0.2201835;-0.05106134;-0.00467356;;;
93;-0.3417226;0.6750578;4.139968;0.2277642;-0.0511097;-0.006799538;;;
94;-0.3521197;0.6458651;4.117826;0.2178522;-0.04216424;0.0003821339;;;
95;-0.342318;0.672253;4.145607;0.2240814;-0.05180866;0.0005330961;;;
96;-0.3597687;0.6782371;4.142115;0.2190177;-0.04377405;0.0029082;;;
97;-0.3343782;0.6498803;4.148858;0.2282752;-0.04810083;-0.004528182;;;
98;-0.3428969;0.6729014;4.141731;0.224559;-0.05340376;-0.002141876;;;
99;-0.3259959;0.6560318;4.140327;0.2245318;-0.04952866;-0.00351835;;;
100;-0.3365764;0.6582791;4.145346;0.2263082;-0.05583135;-0.003030833;;;
101;-0.3231589;0.6740103;4.143691;0.2289507;-0.04765568;-0.00729564;;;
102;-0.3613524;0.6433433;4.147088;0.2266292;-0.05844016;0.0004910873;;;
103;-0.3484483;0.6702497;4.149458;0.2280678;-0.05802571;-0.001111843;;;
104;-0.3274216;0.6457162;4.134299;0.2269182;-0.04554606;-2.639364e-06;;;
105;-0.3373343;0.6780926;4.143642;0.2286182;-0.05293677;-0.001114591;;;
106;-0.3526436;0.6385775;4.142245;0.2209562;-0.04902656;-0.004781952;;;
107;-0.34014;0.6516601;4.157128;0.2253354;-0.04792832;-0.005968432;;;
108;-0.3334362;0.6770084;4.126916;0.2311837;-0.05331885;-0.004053224;;;
109;-0.3458565;0.6694273;4.141397;0.218762;-0.04735772;0.005693805;;;
110;-0.3301728;0.6376208;4.139825;0.2245329;-0.04818776;0.003145834;;;
111;-0.3396825;0.6773545;4.151736;0.230386;-0.04964205;0.008675215;;;
112;-0.3124708;0.8173935;4.242432;0.2252745;-0.04191646;0.008896863;;;
113;-0.1198304;1.762086;4.998687;0.2157104;0.04040769;0.001345464;;;
114;0.3259866;2.24653;6.079296;0.1768;0.07535816;-0.01828253;;;
115;0.5471176;3.177433;6.723703;0.1017685;0.1947681;-0.04326876;;;
116;0.8908922;3.999507;7.192557;0.03589483;0.3191655;-0.1002696;;;
117;1.016616;4.541751;7.471789;-0.02852831;0.3678148;-0.1311193;;;
118;1.040684;5.155641;8.31786;-0.0238808;0.4110307;-0.1799935;;;
119;1.021446;5.632719;8.75533;-0.03532677;0.4691808;-0.1911757;;;
